,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2023-05-26,306.9700,333.4000,303.4000,332.8900,332.8900,525403318,0.6800
2023-04-28,286.5200,308.9300,275.3700,307.2600,306.5960,551356990,0.0000
2023-03-31,250.7600,289.2700,245.6100,288.3000,287.6770,747751976,0.0000
2023-02-28,248.0000,276.7600,245.4700,249.4200,248.8810,615540778,0.6800
2023-01-31,243.0800,249.8300,219.3500,247.8100,246.6517,666168068,0.0000
2022-12-30,253.8700,263.9150,233.8700,239.8200,238.6991,591366468,0.0000
2022-11-30,234.6000,255.3300,213.4310,255.1400,253.9475,615328220,0.6800
2022-10-31,235.4100,251.0400,219.1300,232.1300,230.3969,671366804,0.0000
2022-09-30,258.8700,267.4500,232.7300,232.9000,231.1612,575416752,0.0000
2022-08-31,277.8200,294.1800,260.6600,261.4700,259.5179,476959033,0.6200
2022-07-29,256.3900,282.0000,245.9400,280.7400,278.0522,534986150,0.0000
2022-06-30,275.1950,277.6900,241.5100,256.8300,254.3711,621501474,0.0000
2022-05-31,277.7100,290.8800,246.4400,271.8700,269.2671,742766114,0.6200
2022-04-29,309.3700,315.1100,270.0000,277.5200,274.1940,622644983,0.0000
2022-03-31,296.4000,315.9500,270.0000,308.3100,304.6149,732627846,0.0000
2022-02-28,310.4100,315.1200,271.5200,298.7900,295.2090,697204843,0.6200
2022-01-31,335.3500,338.0000,276.0500,310.9800,306.6182,946705316,0.0000
2021-12-31,335.1300,344.3000,317.2500,336.3200,331.6028,625743806,0.0000
2021-11-30,331.3550,349.6700,326.3700,330.5900,325.9532,507120518,0.6200
2021-10-29,282.1217,332.0000,280.2500,331.6200,326.3720,516523658,0.0000
2021-09-30,302.8650,305.3200,281.6200,281.9200,277.4585,502931199,0.0000
2021-08-31,286.3600,305.8400,283.7400,301.8800,297.1027,440360333,0.5600
2021-07-30,269.6100,290.1500,269.6000,284.9100,279.8622,522303043,0.0000
2021-06-30,251.2300,271.6500,243.0000,270.9000,266.1004,508388858,0.0000
2021-05-28,253.4000,254.3500,238.0700,249.6800,245.2563,495089530,0.5600
2021-04-30,238.4700,263.1900,238.0501,252.1800,247.1428,568698272,0.0000
2021-03-31,235.9000,241.0500,224.2600,235.7700,231.0606,724981506,0.0000
2021-02-26,235.0600,246.1300,227.8800,232.3800,227.7383,489396912,0.5600
2021-01-29,222.5300,242.6400,211.9400,231.9600,226.8066,647897096,0.0000
2020-12-31,214.5100,227.1800,209.1100,222.4200,217.4785,593966967,0.0000
2020-11-30,204.2900,228.1200,200.1200,214.0700,209.3140,573325190,0.5600
2020-10-30,213.4900,225.2100,199.6200,202.4700,197.4479,631674298,0.0000
2020-09-30,225.5100,232.8600,196.2500,210.3300,205.1129,768528897,0.0000
2020-08-31,211.5200,231.1500,203.1400,225.5300,219.9359,692382980,0.5100
2020-07-31,203.1400,216.3800,197.5100,205.0100,199.4398,769842002,0.0000
2020-06-30,182.5400,204.4000,181.3500,203.5100,197.9806,765012029,0.0000
2020-05-29,175.8000,187.5100,173.8000,183.2500,178.2711,688873081,0.5100
2020-04-30,153.0000,180.4000,150.3600,179.2100,173.8632,984810925,0.0000
2020-03-31,165.3100,175.0000,132.5200,157.7100,153.0047,1612954386,0.0000
2020-02-28,170.4300,190.7000,152.0000,162.0100,157.1764,887894931,0.5100
2020-01-31,158.7800,174.0500,156.5100,170.2300,164.7026,555989763,0.0000
2019-12-31,151.8100,159.5500,146.6500,157.7000,152.5795,452664147,0.0000
2019-11-29,144.2600,152.5000,142.9700,151.3800,146.4647,393028043,0.5100
2019-10-31,139.6600,145.6700,133.2200,143.3700,138.2436,560654410,0.0000
2019-09-30,136.6100,142.3700,134.5100,139.0300,134.0588,477645820,0.0000
2019-08-30,137.0000,140.9400,130.7800,137.8600,132.9306,585509525,0.4600
2019-07-31,136.6300,141.6800,134.6700,136.2700,130.9478,484553299,0.0000
2019-06-28,123.8500,138.4000,119.0100,133.9600,128.7281,508324437,0.0000
2019-05-31,130.5300,130.6500,123.0400,123.6800,118.8496,547218448,0.4600
2019-04-30,118.9500,131.3700,118.1000,130.6000,125.0429,433157868,0.0000
2019-03-29,112.8900,120.8200,108.8000,117.9400,112.9216,589045341,0.0000
2019-02-28,103.7800,113.2400,102.3500,112.0300,107.2630,469095970,0.4600
2019-01-31,99.5500,107.9000,97.2000,104.4300,99.5590,714204787,0.0000
2018-12-31,113.0000,113.4200,93.9600,101.5700,96.8324,944287635,0.0000
2018-11-30,107.0500,112.2400,99.3500,110.8900,105.7177,720228643,0.4600
